"";"X";"codigo_ibge";"idade_media";"idade_media_diabetes"
"262";262;3523503;72,0526315789474;63
"263";263;3523602;67,8;71,9444444444444
"264";264;3523701;70,2;78,6666666666667
"265";265;3523800;69,2857142857143;71,5
"266";266;3523909;68,0811808118081;66,2292993630573
"267";267;3524006;64,3968253968254;64,9591836734694
"268";268;3524105;64,08;62,2564102564103
"269";269;3524204;62,25;59,2222222222222
"270";270;3524303;73,2307692307692;69,8979591836735
"271";271;3524402;68,1609195402299;66,8805309734513
"272";272;3524501;69,4285714285714;70,5
"273";273;3524600;73,6764705882353;71,3125
"274";274;3524709;70,4428571428571;68
"275";275;3524808;69,09375;65,5
"276";276;3524907;68;60
"277";277;3525003;65,7008547008547;66,0729166666667
"278";278;3525102;71,3648648648649;69,3
"279";279;3525201;64,4;66,3793103448276
"280";280;3525300;65,6268656716418;65,6810344827586
"281";281;3525508;71;65
"282";282;3525607;72,75;78,5
"283";283;3525706;69,8815789473684;68,2258064516129
"284";284;3525805;71,5833333333333;64,4
"285";285;3525854;74,6666666666667;81
"286";286;3525904;70,758358662614;68,054054054054
"287";287;3526001;69,0857142857143;64,8076923076923
"288";288;3526100;64,1875;63,3928571428571
"289";289;3526209;65,8947368421053;68,6875
"290";290;3526308;70,8;71,6666666666667
"291";291;3526407;66,4130434782609;67,7575757575758
"292";292;3526506;68;63,3333333333333
"293";293;3526605;62,5;NA
"294";294;3526704;66,0476190476191;65,816
"295";295;3526803;67,953488372093;68
"296";296;3526902;67,5769230769231;67,3180428134557
"297";297;3527009;68,7;69,5714285714286
"298";298;3527108;66,3614457831325;63,6
"299";299;3527207;71,4047619047619;69,4888888888889
"300";300;3527256;82;73,75
"301";301;3527306;67,1730769230769;66,1176470588235
"302";302;3527405;66,1666666666667;62,9166666666667
"303";303;3527504;68;68
"304";304;3527603;79,25;68,375
"305";305;3527702;45;63
"306";306;3527801;69,4;60
"307";307;3527900;75,5;65
"308";308;3528007;61,875;61,1666666666667
"309";309;3528106;75,8571428571429;68,3333333333333
"310";310;3528205;67,2307692307692;65,5
"311";311;3528304;60;55,25
"312";312;3528403;68,6071428571429;65,1428571428571
"313";313;3528502;69,9363636363636;69,6119402985075
"314";314;3528601;59,125;52,75
"315";315;3528700;77,5;64
"316";316;3528809;67,8666666666667;62,1538461538462
"317";317;3528858;70,5;80,6
"318";318;3528908;66,75;58,5
"319";319;3529005;67,5586080586081;67,504
"320";320;3529104;75;65
"321";321;3529203;64,8285714285714;68,7894736842105
"322";322;3529302;67,3047619047619;67,2957746478873
"323";323;3529401;68,3217550274223;67,6357894736842
"324";324;3529500;66,375;76
"325";325;3529609;70,625;71,2727272727273
"326";326;3529658;42,6666666666667;51
"327";327;3529708;69,7352941176471;69,8695652173913
"328";328;3529807;71,25;66,375
"329";329;3529906;63,4473684210526;66,8076923076923
"330";330;3530003;66,7777777777778;60,75
"331";331;3530102;71,16;65,2068965517241
"332";332;3530201;63,3684210526316;67,0555555555556
"333";333;3530300;68,2;66,0192307692308
"334";334;3530409;68,1666666666667;66
"335";335;3530508;68,4507042253521;66,640625
"336";336;3530607;67,9959514170041;67,5416666666667
"337";337;3530706;68,1812080536913;64,377358490566
"338";338;3530805;70,5529411764706;64,7165354330709
"339";339;3530904;69,6666666666667;56
"340";340;3531001;63;55,5
"341";341;3531100;69,6;68,16
"342";342;3531209;72,7142857142857;73,6
"343";343;3531308;73,9166666666667;67,4909090909091
"344";344;3531407;66,2941176470588;69,6829268292683
"345";345;3531506;67,8125;64,8571428571429
"346";346;3531605;71;67
"347";347;3531704;70,3333333333333;75,6666666666667
"348";348;3531803;68,578125;62,972972972973
"349";349;3531902;65,8684210526316;65,8974358974359
"350";350;3532009;72,5625;70,2727272727273
"351";351;3532058;67,75;70
"352";352;3532108;78,3333333333333;67
"353";353;3532157;67,5;73,4
"354";354;3532207;73,7692307692308;69,625
"355";355;3532306;68,5714285714286;65,6666666666667
"356";356;3532405;70,5789473684211;59,6
"357";357;3532504;71,1379310344828;71
"358";358;3532603;67,6363636363636;65,7142857142857
"359";359;3532702;58;62,2857142857143
"360";360;3532801;69,8461538461538;62
"361";361;3532827;61,3846153846154;69,4
"362";362;3532843;65;72,5
"363";363;3532868;76,5;62
"364";364;3532900;64,6666666666667;56,9333333333333
"365";365;3533007;71,7142857142857;72,0714285714286
"366";366;3533106;64,5;60
"367";367;3533205;72;77,6666666666667
"368";368;3533254;65;66
"369";369;3533304;67,6666666666667;61,5
"370";370;3533403;67,0363636363636;66,2291666666667
"371";371;3533502;66,9375;65,3333333333333
"372";372;3533601;75;61,6666666666667
"373";373;3533700;60,6666666666667;60,5
"374";374;3533809;79,6666666666667;77
"375";375;3533908;68,6233766233766;67,0333333333333
"376";376;3534005;69,625;72,3636363636364
"377";377;3534104;72,8571428571429;62,875
"378";378;3534203;64,4166666666667;65,5714285714286
"379";379;3534302;68,7272727272727;67,625
"380";380;3534401;68,6593033135089;67,8325358851675
"381";381;3534500;97;69,5
"382";382;3534609;68,6166666666667;65,875
"383";383;3534708;66,9876543209877;64,6381578947368
"384";384;3534757;67,5;63,7777777777778
"385";385;3534807;65,8181818181818;60,2222222222222
"386";386;3534906;69,25;73,7777777777778
"387";387;3535002;70,1538461538462;69,8
"388";388;3535101;71,2083333333333;69,1428571428571
"389";389;3535200;63,2727272727273;63,5555555555556
"390";390;3535309;66,1875;67,3333333333333
"391";391;3535408;68,1818181818182;64,2
"392";392;3535507;66,5238095238095;65,6153846153846
"393";393;3535606;76,1428571428571;71,5
"394";394;3535705;65,0909090909091;58,5
"395";395;3535804;68,0689655172414;65,3809523809524
"396";396;3535903;70,5;71,4285714285714
"397";397;3536000;67,2631578947368;70,9333333333333
"398";398;3536109;68,8571428571429;64,4285714285714
"399";399;3536208;70,375;68,7368421052632
"400";400;3536257;76,4444444444444;76,6
"401";401;3536307;67,5333333333333;71,3333333333333
"402";402;3536406;71,8333333333333;66,625
"403";403;3536505;70,1739130434783;69,3714285714286
"404";404;3536570;79,5;80
"405";405;3536604;62,8888888888889;65,9375
"406";406;3536703;70,9302325581395;64,3589743589744
"407";407;3536802;76;62
"408";408;3536901;73,8;78
"409";409;3537008;73,5;72,25
"410";410;3537107;67,5454545454545;64,0333333333333
"411";411;3537156;77;78,5
"412";412;3537206;75;76,3333333333333
"413";413;3537305;71,8064516129032;62,16
"414";414;3537404;65;62
"415";415;3537503;60,1666666666667;60,2857142857143
"416";416;3537602;69,2435897435897;62,8846153846154
"417";417;3537701;72,3333333333333;70,5
"418";418;3537800;70,4901960784314;65,4821428571429
"419";419;3537909;73,7142857142857;69,0909090909091
"420";420;3538006;67,5633802816901;67,9347826086957
"421";421;3538105;66,1481481481482;68,1875
"422";422;3538204;67,5;67,5
"423";423;3538303;66,8571428571429;65,6666666666667
"424";424;3538501;69,8571428571429;71,25
"425";425;3538600;75,5;72
"426";426;3538709;70,1612426035503;69,2403100775194
"427";427;3538808;65,9722222222222;64,0909090909091
"428";428;3538907;68,1428571428571;68,7777777777778
"429";429;3539004;71,875;67,8333333333333
"430";430;3539103;73,7777777777778;74,5555555555556
"431";431;3539202;73,448275862069;72,4166666666667
"432";432;3539301;67,0166666666667;65,2467532467532
